,Close
2012-06-11/2012-06-17,7.149333381652832
2012-06-18/2012-06-24,7.292666625976563
2012-06-25/2012-07-01,7.297222375869751
2012-07-02/2012-07-08,7.545333671569824
2012-07-09/2012-07-15,7.347333240509033
2012-07-16/2012-07-22,7.556666660308838
2012-07-23/2012-07-29,7.5540000915527346
2012-07-30/2012-08-05,7.615999984741211
2012-08-06/2012-08-12,7.7646668434143065
2012-08-13/2012-08-19,7.791333389282227
2012-08-20/2012-08-26,7.739333438873291
2012-08-27/2012-09-02,7.640000025431315
2012-09-03/2012-09-09,7.790666580200195
2012-09-10/2012-09-16,7.982666683197022
2012-09-17/2012-09-23,7.949333381652832
2012-09-24/2012-09-30,7.767333316802978
2012-10-01/2012-10-07,7.82599983215332
2012-10-08/2012-10-14,7.811333179473877
2012-10-15/2012-10-21,8.07200002670288
2012-10-22/2012-10-28,7.965333271026611
2012-10-29/2012-11-04,7.966666793823242
2012-11-05/2012-11-11,7.975333309173584
2012-11-12/2012-11-18,7.697999954223633
2012-11-19/2012-11-25,7.777333354949951
2012-11-26/2012-12-02,7.990000089009603
2012-12-03/2012-12-09,7.941333293914795
2012-12-10/2012-12-16,7.991999912261963
2012-12-17/2012-12-23,8.447333335876465
2012-12-24/2012-12-30,8.369333648681641
2012-12-31/2013-01-06,8.573333358764648
2013-01-07/2013-01-13,8.796666717529297
2013-01-14/2013-01-20,8.97066650390625
2013-01-21/2013-01-27,9.147999954223632
2013-01-28/2013-02-03,9.373999977111817
2013-02-04/2013-02-10,9.65999984741211
2013-02-11/2013-02-17,10.28333339691162
2013-02-18/2013-02-24,10.396666717529296
2013-02-25/2013-03-03,10.487333297729492
2013-03-04/2013-03-10,10.716000175476074
2013-03-11/2013-03-17,10.780000114440918
2013-03-18/2013-03-24,10.709333419799805
2013-03-25/2013-03-31,10.775333595275878
2013-04-01/2013-04-07,9.701333236694335
2013-04-08/2013-04-14,9.673333549499512
2013-04-15/2013-04-21,9.42599983215332
2013-04-22/2013-04-28,9.497333335876466
2013-04-29/2013-05-05,9.883999824523926
2013-05-06/2013-05-12,10.108666801452637
2013-05-13/2013-05-19,10.303333473205566
2013-05-20/2013-05-26,10.343333435058593
2013-05-27/2013-06-02,10.491666634877523
2013-06-03/2013-06-09,10.511333465576172
2013-06-10/2013-06-16,10.770666694641113
2013-06-17/2013-06-23,10.950666427612305
2013-06-24/2013-06-30,10.818666648864745
2013-07-01/2013-07-07,10.994000244140626
2013-07-08/2013-07-14,11.204666709899902
2013-07-15/2013-07-21,11.308000183105468
2013-07-22/2013-07-28,11.104000091552734
2013-07-29/2013-08-04,10.936666488647461
2013-08-05/2013-08-11,10.773333549499512
2013-08-12/2013-08-18,10.517333221435546
2013-08-19/2013-08-25,10.32199993133545
2013-08-26/2013-09-01,10.011666615804037
2013-09-02/2013-09-08,10.02800006866455
2013-09-09/2013-09-15,10.34600009918213
2013-09-16/2013-09-22,10.58799991607666
2013-09-23/2013-09-29,10.737333488464355
2013-09-30/2013-10-06,10.806000137329102
2013-10-07/2013-10-13,10.818667030334472
2013-10-14/2013-10-20,11.251333427429199
2013-10-21/2013-10-27,11.609999656677246
2013-10-28/2013-11-03,11.87933349609375
2013-11-04/2013-11-10,11.82199993133545
2013-11-11/2013-11-17,12.147999954223632
2013-11-18/2013-11-24,12.85466651916504
2013-11-25/2013-12-01,12.997222582499186
2013-12-02/2013-12-08,13.074666595458984
2013-12-09/2013-12-15,12.923333358764648
2013-12-16/2013-12-22,13.13666648864746
2013-12-23/2013-12-29,13.298666763305665
2013-12-30/2014-01-05,13.227333641052246
