Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12 00:00:00-05:00,0.09894323348999023,0.09937339758812554,0.09894323348999023,0.09894323348999023,469033600,0.0,0.0
1980-12-15 00:00:00-05:00,0.09421146396599142,0.09421146396599142,0.09378129988908768,0.09378129988908768,175884800,0.0,0.0
1980-12-16 00:00:00-05:00,0.08732808274492028,0.08732808274492028,0.08689792454242706,0.08689792454242706,105728000,0.0,0.0
1980-12-17 00:00:00-05:00,0.08904872089624405,0.08947888481268537,0.08904872089624405,0.08904872089624405,86441600,0.0,0.0
1980-12-18 00:00:00-05:00,0.0916304811835289,0.09206063944378547,0.0916304811835289,0.0916304811835289,73449600,0.0,0.0
1980-12-19 00:00:00-05:00,0.09722258150577545,0.09765274557258972,0.09722258150577545,0.09722258150577545,48630400,0.0,0.0
1980-12-22 00:00:00-05:00,0.10195432603359222,0.1023852595906023,0.10195432603359222,0.10195432603359222,37363200,0.0,0.0
1980-12-23 00:00:00-05:00,0.10625673085451126,0.10668689488786376,0.10625673085451126,0.10625673085451126,46950400,0.0,0.0
1980-12-24 00:00:00-05:00,0.11184883117675781,0.11227899521915016,0.11184883117675781,0.11184883117675781,48003200,0.0,0.0
1980-12-26 00:00:00-05:00,0.12217345833778381,0.12260362234292384,0.12217345833778381,0.12217345833778381,55574400,0.0,0.0
1980-12-29 00:00:00-05:00,0.12389406561851501,0.12432422949431306,0.12389406561851501,0.12389406561851501,93161600,0.0,0.0
1980-12-30 00:00:00-05:00,0.12131312557592941,0.12131312557592941,0.12088297307491302,0.12088297307491302,68880000,0.0,0.0
1980-12-31 00:00:00-05:00,0.11787184051756933,0.11787184051756933,0.11744167655706404,0.11744167655706406,35750400,0.0,0.0
1981-01-02 00:00:00-05:00,0.11873216181993484,0.11959248977622325,0.11873216181993484,0.11873216181993484,21660800,0.0,0.0
1981-01-05 00:00:00-05:00,0.11658134374939384,0.11658134374939384,0.11615119129419327,0.11615119129419327,35728000,0.0,0.0
1981-01-06 00:00:00-05:00,0.11141866175569627,0.11141866175569627,0.11098849773406982,0.11098849773406982,45158400,0.0,0.0
1981-01-07 00:00:00-05:00,0.10668689488786376,0.10668689488786376,0.10625673085451126,0.10625673085451126,55686400,0.0,0.0
1981-01-08 00:00:00-05:00,0.10453607208750376,0.10453607208750376,0.10410591959953308,0.10410591959953308,39827200,0.0,0.0
1981-01-09 00:00:00-05:00,0.10969802737236023,0.11012819143404673,0.10969802737236023,0.10969802737236023,21504000,0.0,0.0
1981-01-12 00:00:00-05:00,0.1096979879044962,0.1096979879044962,0.10883767157793045,0.10883767157793045,23699200,0.0,0.0
